Parsed: dat: exchange_rate
Parsed: 2009-01-0: 0
Parsed: 2009-01-0: 0
Parsed: 2009-01-0: 0
Parsed: 2009-01-1: 0
Parsed: 2009-01-1: 0
Parsed: 2009-01-1: 0
Parsed: 2009-01-2: 0
Parsed: 2009-01-2: 0
Parsed: 2009-01-2: 0
Parsed: 2009-01-2: 0
Parsed: 2009-02-0: 0
Parsed: 2009-02-0: 0
Parsed: 2009-02-0: 0
Parsed: 2009-02-1: 0
Parsed: 2009-02-1: 0
Parsed: 2009-02-1: 0
Parsed: 2009-02-1: 0
Parsed: 2009-02-2: 0
Parsed: 2009-02-2: 0
Parsed: 2009-02-2: 0
Parsed: 2009-03-0: 0
Parsed: 2009-03-0: 0
Parsed: 2009-03-0: 0
Parsed: 2009-03-1: 0
Parsed: 2009-03-1: 0
Parsed: 2009-03-1: 0
Parsed: 2009-03-2: 0
Parsed: 2009-03-2: 0
Parsed: 2009-03-2: 0
Parsed: 2009-03-3: 0
Parsed: 2009-04-0: 0
Parsed: 2009-04-0: 0
Parsed: 2009-04-0: 0
Parsed: 2009-04-1: 0
Parsed: 2009-04-1: 0
Parsed: 2009-04-1: 0
Parsed: 2009-04-2: 0
Parsed: 2009-04-2: 0
Parsed: 2009-04-2: 0
Parsed: 2009-04-3: 0
Parsed: 2009-05-0: 0
Parsed: 2009-05-0: 0
Parsed: 2009-05-0: 0
Parsed: 2009-05-1: 0
Parsed: 2009-05-1: 0
Parsed: 2009-05-1: 0
Parsed: 2009-05-2: 0
Parsed: 2009-05-2: 0
Parsed: 2009-05-2: 0
Parsed: 2009-05-3: 0
Parsed: 2009-06-0: 0
Parsed: 2009-06-0: 0
Parsed: 2009-06-0: 0
Parsed: 2009-06-1: 0
Parsed: 2009-06-1: 0
Parsed: 2009-06-1: 0
Parsed: 2009-06-2: 0
Parsed: 2009-06-2: 0
Parsed: 2009-06-2: 0
Parsed: 2009-06-2: 0
Parsed: 2009-07-0: 0
Parsed: 2009-07-0: 0
Parsed: 2009-07-0: 0
Parsed: 2009-07-1: 0
Parsed: 2009-07-1: 0
Parsed: 2009-07-1: 0
Parsed: 2009-07-2: 0
Parsed: 2009-07-2: 0
Parsed: 2009-07-2: 0
Parsed: 2009-07-2: 0
Parsed: 2009-08-0: 0
Parsed: 2009-08-0: 0
Parsed: 2009-08-0: 0
Parsed: 2009-08-1: 0
Parsed: 2009-08-1: 0
Parsed: 2009-08-1: 0
Parsed: 2009-08-1: 0
Parsed: 2009-08-2: 0
Parsed: 2009-08-2: 0
Parsed: 2009-08-2: 0
Parsed: 2009-08-3: 0
Parsed: 2009-09-0: 0
Parsed: 2009-09-0: 0
Parsed: 2009-09-0: 0
Parsed: 2009-09-1: 0
Parsed: 2009-09-1: 0
Parsed: 2009-09-1: 0
Parsed: 2009-09-2: 0
Parsed: 2009-09-2: 0
Parsed: 2009-09-2: 0
Parsed: 2009-09-3: 0
Parsed: 2009-10-0: 0
Parsed: 2009-10-0: 0
Parsed: 2009-10-0: 0
Parsed: 2009-10-1: 0
Parsed: 2009-10-1: 0
Parsed: 2009-10-1: 0
Parsed: 2009-10-2: 0
Parsed: 2009-10-2: 0
Parsed: 2009-10-2: 0
Parsed: 2009-10-2: 0
Parsed: 2009-11-0: 0
Parsed: 2009-11-0: 0
Parsed: 2009-11-0: 0
Parsed: 2009-11-1: 0
Parsed: 2009-11-1: 0
Parsed: 2009-11-1: 0
Parsed: 2009-11-1: 0
Parsed: 2009-11-2: 0
Parsed: 2009-11-2: 0
Parsed: 2009-11-2: 0
Parsed: 2009-12-0: 0
Parsed: 2009-12-0: 0
Parsed: 2009-12-0: 0
Parsed: 2009-12-1: 0
Parsed: 2009-12-1: 0
Parsed: 2009-12-1: 0
Parsed: 2009-12-1: 0
Parsed: 2009-12-2: 0
Parsed: 2009-12-2: 0
